error(percentage),method
0.227431734,LSTM
0.259016421,LSTM
0.213238076,LSTM
0.240246222,LSTM
0.07723206,LSTM
0.119958305,LSTM
0.059585043,LSTM
0.192464643,LSTM
1.03E-05,LSTM
0.020938351,LSTM
0.101035416,LSTM
0.013031166,LSTM
0.153875145,LSTM
0.180246191,LSTM
0.241288078,LSTM
0.109597785,LSTM
0.533047839,LSTM
0.013272605,LSTM
0.257685039,LSTM
0.050108207,LSTM
0.0442343,LSTM
0.142475349,LSTM
0.297557475,LSTM
0.455458647,LSTM
2.092434049,LSTM
0.27823743,LSTM
0.383885722,LSTM
0.20612961,LSTM
0.42822342,LSTM
0.053712737,LSTM
0.022220781,LSTM
0.050851531,LSTM
0.062700924,LSTM
0.152932189,LSTM
0.1421821,LSTM
0.227054113,LSTM
0.086098033,LSTM
0.160986105,LSTM
0.258490462,LSTM
0.182038544,LSTM
0.054616636,LSTM
0.407201884,LSTM
0.114043083,LSTM
0.115618043,LSTM
0.189870117,LSTM
0.023928632,LSTM
0.144911256,LSTM
0.091035672,LSTM
0.486878291,LSTM
0.133737018,LSTM
0.053414994,LSTM
0.067754785,LSTM
0.080871615,LSTM
0.1753853,LSTM
0.073867662,LSTM
0.111161195,LSTM
0.172166064,LSTM
0.113668612,LSTM
0.094242746,LSTM
0.231994746,LSTM
0.067725612,LSTM
0.013776665,LSTM
0.080438564,LSTM
0.07076172,LSTM
0.202731669,LSTM
0.171738225,LSTM
0.23437379,LSTM
0.202320187,LSTM
0.333252464,LSTM
0.252066865,LSTM
0.477085138,LSTM
0.246563732,LSTM
0.137538138,LSTM
0.284267423,LSTM
0.12063006,LSTM
0.170629569,LSTM
2.066272441,LSTM
0.165891455,LSTM
0.171174236,LSTM
0.142264219,LSTM
0.288907025,LSTM
0.026604643,LSTM
0.117060554,LSTM
0.115420283,LSTM
0.411936858,LSTM
0.052967165,LSTM
0.003036396,LSTM
0.002552585,LSTM
0.258287899,LSTM
0.01265869,LSTM
0.072067833,LSTM
0.120073686,LSTM
0.117181712,LSTM
0.013717414,LSTM
0.039636193,LSTM
0.306161252,LSTM
0.291539802,LSTM
0.071285918,LSTM
0.010317475,LSTM
0.08119303,LSTM
0.061090929,LSTM
0.5285846,LSTM
0.153092141,LSTM
0.23025079,LSTM
0.174368806,LSTM
0.10480201,LSTM
0.101166455,LSTM
0.204905658,LSTM
0.030456646,LSTM
0.05958947,LSTM
0.111711256,LSTM
0.160296032,LSTM
0.036012972,LSTM
0.319333219,LSTM
0.060725653,LSTM
0.013007338,LSTM
0.045441618,LSTM
0.095363597,LSTM
0.16765407,LSTM
0.131988052,LSTM
0.01669763,LSTM
0.031380595,LSTM
0.255722706,LSTM
0.021824262,LSTM
0.284322289,LSTM
0.259014258,LSTM
0.083449098,LSTM
0.175007937,LSTM
1.654070177,LSTM
0.186474478,ARIMAx
0.101386034,ARIMAx
0.151052864,ARIMAx
0.02818418,ARIMAx
0.215596661,ARIMAx
0.228485294,ARIMAx
0.175470154,ARIMAx
0.198078309,ARIMAx
0.303924592,ARIMAx
0.158006781,ARIMAx
0.186459078,ARIMAx
0.044148596,ARIMAx
0.228939518,ARIMAx
0.067868738,ARIMAx
0.029424011,ARIMAx
0.039843182,ARIMAx
0.097159159,ARIMAx
0.024229479,ARIMAx
0.02304817,ARIMAx
0.271414406,ARIMAx
0.194867604,ARIMAx
0.096192199,ARIMAx
0.189563194,ARIMAx
0.189677939,ARIMAx
0.388323945,ARIMAx
0.394065115,ARIMAx
0.196570697,ARIMAx
0.182921714,ARIMAx
0.224968596,ARIMAx
0.040548727,ARIMAx
0.016774834,ARIMAx
0.166803914,ARIMAx
0.009048883,ARIMAx
0.054486997,ARIMAx
0.041632931,ARIMAx
0.157010862,ARIMAx
0.211684732,ARIMAx
0.184030602,ARIMAx
0.441217422,ARIMAx
0.207240363,ARIMAx
0.193204204,ARIMAx
0.212316936,ARIMAx
0.067350763,ARIMAx
0.029799413,ARIMAx
0.410069066,ARIMAx
0.674577301,ARIMAx
2.703043161,ARIMAx
0.5673677,ARIMAx
0.350488586,ARIMAx
0.118214294,ARIMAx
0.197995536,ARIMAx
0.260356167,ARIMAx
0.047206315,ARIMAx
0.133451738,ARIMAx
0.008417011,ARIMAx
0.164647996,ARIMAx
0.029405894,ARIMAx
0.131504375,ARIMAx
0.127103292,ARIMAx
0.161475801,ARIMAx
0.29005931,ARIMAx
0.265724442,ARIMAx
0.107203766,ARIMAx
0.351858893,ARIMAx
0.233882651,ARIMAx
0.339843848,ARIMAx
0.171580521,ARIMAx
0.199946891,ARIMAx
0.208714012,ARIMAx
0.025380059,ARIMAx
0.427370949,ARIMAx
0.121083144,ARIMAx
0.011485762,ARIMAx
0.024375445,ARIMAx
0.028172924,ARIMAx
0.164769481,ARIMAx
0.181624397,ARIMAx
0.075006543,ARIMAx
0.140038031,ARIMAx
0.253000885,ARIMAx
0.188869083,ARIMAx
0.079689193,ARIMAx
0.133852515,ARIMAx
0.045775681,ARIMAx
0.167283991,ARIMAx
0.08826737,ARIMAx
0.137019123,ARIMAx
0.134481344,ARIMAx
0.041548627,ARIMAx
0.018249749,ARIMAx
0.035286433,ARIMAx
0.216698821,ARIMAx
0.09621708,ARIMAx
0.438175529,ARIMAx
0.132533886,ARIMAx
0.062972653,ARIMAx
0.200596501,ARIMAx
0.031156547,ARIMAx
2.012865749,ARIMAx
0.848936076,ARIMAx
0.029032011,ARIMAx
0.27718595,ARIMAx
0.324385311,ARIMAx
0.012461968,ARIMAx
0.061060451,ARIMAx
0.124237015,ARIMAx
0.259006228,ARIMAx
0.167540435,ARIMAx
0.114870824,ARIMAx
0.054691314,ARIMAx
0.352130077,ARIMAx
0.14676163,ARIMAx
0.143928698,ARIMAx
0.022321074,ARIMAx
0.156613688,ARIMAx
0.028711203,ARIMAx
0.031608079,ARIMAx
0.326420543,ARIMAx
0.001855679,ARIMAx
0.273717818,ARIMAx
0.084864258,ARIMAx
0.032491627,ARIMAx
0.022676809,ARIMAx
0.406720267,ARIMAx
0.096652751,ARIMAx
0.089329828,ARIMAx
0.043197278,ARIMAx
0.240761177,ARIMAx
0.225889461,ARIMAx
0.262621308,ARIMAx
0.126258384,ARIMAx
0.086355465,ARIMAx
0.115112176,ARIMAx
0.005840989,ARIMAx
0.091864447,ARIMAx
0.168807286,ARIMAx
0.102480368,ARIMAx
0.082784797,ARIMAx
0.147535534,ARIMAx
0.017236633,ARIMAx
0.166593054,ARIMAx
0.03312548,ARIMAx
0.132555893,ARIMAx
0.151954418,ARIMAx
0.120228738,ARIMAx
0.098146822,ARIMAx
0.225282421,ARIMAx
0.077581848,ARIMAx
0.156335468,ARIMAx
0.109999092,ARIMAx
1.736755765,ARIMAx
0.159655465,ARIMA
0.325534177,ARIMA
0.074935388,ARIMA
0.280522212,ARIMA
0.019223038,ARIMA
0.195353661,ARIMA
0.002919195,ARIMA
0.00880699,ARIMA
0.06632456,ARIMA
0.171771212,ARIMA
0.006152356,ARIMA
0.241237358,ARIMA
0.356389819,ARIMA
0.153588704,ARIMA
0.055900113,ARIMA
0.019073586,ARIMA
0.026491764,ARIMA
0.025839526,ARIMA
0.065868772,ARIMA
0.134626305,ARIMA
0.180635189,ARIMA
0.070664838,ARIMA
0.104440116,ARIMA
0.168404417,ARIMA
0.278929751,ARIMA
0.256898394,ARIMA
0.251810642,ARIMA
0.100778452,ARIMA
0.134400262,ARIMA
0.114731418,ARIMA
0.091007901,ARIMA
0.129531964,ARIMA
0.16669534,ARIMA
0.014669049,ARIMA
0.114122558,ARIMA
0.013670123,ARIMA
0.06793188,ARIMA
0.073130588,ARIMA
0.02380959,ARIMA
0.364693144,ARIMA
0.068494344,ARIMA
0.334919496,ARIMA
0.028284602,ARIMA
0.045763988,ARIMA
0.075492852,ARIMA
0.290601272,ARIMA
0.374669226,ARIMA
1.868470641,ARIMA
0.219681043,ARIMA
0.403308311,ARIMA
0.172624702,ARIMA
0.365585154,ARIMA
0.052462337,ARIMA
0.120639656,ARIMA
0.024345324,ARIMA
0.09441835,ARIMA
0.154503825,ARIMA
0.07331177,ARIMA
0.261452442,ARIMA
0.032747957,ARIMA
0.139690789,ARIMA
0.124978087,ARIMA
0.099639152,ARIMA
0.014172438,ARIMA
0.30784801,ARIMA
0.091422575,ARIMA
0.07701687,ARIMA
0.160555724,ARIMA
0.03952887,ARIMA
0.207246837,ARIMA
0.069347716,ARIMA
0.532002312,ARIMA
0.059564512,ARIMA
0.088629868,ARIMA
0.11611333,ARIMA
0.134365836,ARIMA
0.143007892,ARIMA
0.019437588,ARIMA
0.161923391,ARIMA
0.169740043,ARIMA
0.099506207,ARIMA
0.06072997,ARIMA
0.199754986,ARIMA
0.075335512,ARIMA
0.029771206,ARIMA
0.098972906,ARIMA
0.012993424,ARIMA
0.176412022,ARIMA
0.202055134,ARIMA
0.183163116,ARIMA
0.20418414,ARIMA
0.226436194,ARIMA
0.24798999,ARIMA
0.362344149,ARIMA
0.227745653,ARIMA
0.224011431,ARIMA
0.245314898,ARIMA
0.040053143,ARIMA
0.086338795,ARIMA
2.191397428,ARIMA
0.032807098,ARIMA
0.198229777,ARIMA
0.186742215,ARIMA
0.216445898,ARIMA
0.092267048,ARIMA
0.036593408,ARIMA
0.107841673,ARIMA
0.406771146,ARIMA
0.05797789,ARIMA
0.08264427,ARIMA
0.004541823,ARIMA
0.228723039,ARIMA
0.010706601,ARIMA
0.078304561,ARIMA
0.129664871,ARIMA
0.114443579,ARIMA
0.006213925,ARIMA
0.014877034,ARIMA
0.295836779,ARIMA
0.305501013,ARIMA
0.018262773,ARIMA
0.048894996,ARIMA
0.083210513,ARIMA
0.055027318,ARIMA
0.464876518,ARIMA
0.12620984,ARIMA
0.156379944,ARIMA
0.144267768,ARIMA
0.144162211,ARIMA
0.070278675,ARIMA
0.180472693,ARIMA
